資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,曜日(発生年月日),祝日(発生年月日),緯度,経度,発生日,発生時,color,発生地点,道路管理者区分,道路区分,道路構造,曲線半径,縦断勾配,トンネル番号,当事者車両台数,車両単独事故の対象物,臨時速度規制の有無,速度規制（臨時のみ）,トンネル延長距離
本票,北海道（北見方面）,北見,0086,死亡,1,0,39990,対象外,0000,208,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,3,単路（交差点付近を含む）,規制なし,4,2,車両単独,55～64歳,不明,二輪車－自動二輪－小型二輪－751ｃｃ以上,物件等,自家用,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,大破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,日,その他,43.820832,143.937090,2019-09-08,13:10,red,,,,,,,,,,,,
本票,北海道（北見方面）,遠軽,0018,死亡,1,0,02420,対象外,0338,555,夜－夜,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－押ボタン式,09,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,土,その他,43.924044,143.532113,2019-09-28,03:55,red,,,,,,,,,,,,
本票,青森,白石,0296,死亡,1,1,21920,対象外,0007,202,昼－昼,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,1,車両相互,45～54歳,65～74歳,貨物車－準中型車,乗用車－軽自動車,自家用,自家用,貨物車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,80,10,中破,中破,その他,装備あり 作動,その他,その他,損傷なし,死亡,水,その他,40.612628,140.504912,2019-09-25,07:46,red,,,,,,,,,,,,
本票,青森,つがる,0029,死亡,1,2,20820,対象外,0015,209,昼－昼,曇,市街地－その他,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,65～74歳,45～54歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,10,10,大破,大破,装備あり 作動,装備あり 作動,その他,その他,負傷,負傷,火,その他,40.815297,140.390291,2019-09-24,08:08,red,,,,,,,,,,,,
本票,岩手,中央,0290,死亡,1,0,00040,下,0561,201,夜－夜,雨,非市街地,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,45～54歳,65～74歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,前日,39.886296,141.193504,2019-09-22,18:55,red,,,,,,,,,,,,
本票,岩手,東,0117,死亡,1,0,10120,対象外,0000,205,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,04,21,14,9,交差点内,規制なし,4,2,車両相互,65～74歳,75歳以上,貨物車－軽自動車,軽車両－自転車,自家用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,40,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,39.381571,141.108565,2019-09-12,10:20,red,,,,,,,,,,,,
本票,岩手,江別,0158,死亡,1,0,21120,対象外,0000,206,夜－暮,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,35～44歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,39.284907,141.110994,2019-09-13,18:12,red,,,,,,,,,,,,
本票,岩手,赤歌,0029,死亡,1,5,00450,下,3903,507,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,01,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,65～74歳,55～64歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,50,50,大破,大破,装備あり 作動,その他,その他,その他,負傷,負傷,日,その他,40.434451,141.687447,2019-09-01,13:55,red,,,,,,,,,,,,
本票,岩手,小樽,0151,死亡,1,0,30000,対象外,0000,201,昼－昼,曇,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,45～54歳,75歳以上,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,20,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,39.725230,141.119829,2019-09-05,09:05,red,,,,,,,,,,,,
本票,宮城,高速道路交通警察隊,0067,死亡,1,0,50060,下,0000,102,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,4,単路（交差点付近を含む）,規制なし,5,4,車両単独,25～34歳,不明,貨物車－準中型車,物件等,自家用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,56,00,大破,対象外当事者,その他,対象外当事者,その他,対象外当事者,死亡,対象外当事者,月,その他,38.269916,140.976188,2019-09-30,15:25,red,240,東日本高速道路,ランプウェイ－入路,18,0,0,,2,防護柵－ガードレール,0,00,0
本票,宮城,東,0308,死亡,1,0,30000,対象外,0000,406,昼－昼,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,8,単路（交差点付近を含む）,規制なし,4,2,車両単独,35～44歳,不明,二輪車－自動二輪－小型二輪－251～400cc,物件等,自家用,対象外当事者,対象外当事者,対象外当事者,30㎞／ｈ以下,対象外当事者,10,00,大破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,木,その他,38.318057,140.982687,2019-09-19,11:20,red,,,,,,,,,,,,
本票,宮城,岩見沢,0136,死亡,1,1,10140,対象外,0000,322,夜－夜,霧,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,4,単路（交差点付近を含む）,規制なし,4,2,車両単独,25～34歳,不明,乗用車－軽自動車,物件等,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,大破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,負傷,対象外当事者,日,前日,38.096564,140.731250,2019-09-15,01:28,red,,,,,,,,,,,,
本票,宮城,野辺地,0058,死亡,1,3,01130,対象外,0000,302,夜－暮,晴,非市街地,舗装－乾燥,単路－橋,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,1,車両相互,65～74歳,25～34歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,10,大破,大破,装備あり 作動,装備あり 作動,その他,その他,負傷,負傷,木,その他,37.977141,140.495520,2019-09-26,17:57,red,,,,,,,,,,,,
本票,宮城,美唄,0317,死亡,1,0,01080,対象外,0000,202,夜－暮,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,55～64歳,75歳以上,乗用車－普通車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,40,中破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,38.446814,141.275013,2019-09-29,17:49,red,,,,,,,,,,,,
本票,宮城,室蘭,0067,死亡,1,0,10360,対象外,0000,213,夜－明,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,65～74歳,65～74歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,38.719433,141.038850,2019-09-24,05:00,red,,,,,,,,,,,,
本票,宮城,門別,0278,死亡,1,0,30930,対象外,0000,105,夜－暮,曇,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,1,2,人対車両,35～44歳,35～44歳,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,18,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,土,その他,38.301269,140.891605,2019-09-14,18:32,red,,,,,,,,,,,,
本票,宮城,静内,0060,死亡,1,1,01080,上,0187,501,昼－暮,曇,市街地－その他,舗装－乾燥,単路－橋,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,0～24歳,45～54歳,乗用車－普通車,二輪車－自動二輪－小型二輪－751ｃｃ以上,自家用,自家用,乗用車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,80,10,小破,中破,その他,対象外当事者,その他,対象外当事者,負傷,死亡,土,その他,38.531646,141.140547,2019-09-28,17:07,red,,,,,,,,,,,,
本票,秋田,三戸,0240,死亡,1,0,00070,上,2574,201,昼－昼,曇,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,45～54歳,45～54歳,貨物車－大型車,乗用車－軽自動車,事業用,自家用,貨物車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,51,12,中破,大破,その他,装備あり 作動,その他,その他,損傷なし,死亡,火,その他,39.618575,140.064072,2019-09-03,08:23,red,,,,,,,,,,,,
本票,山形,栗山,0084,死亡,1,0,30000,対象外,0000,209,昼－昼,曇,市街地－その他,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,3,単路（交差点付近を含む）,規制なし,4,2,車両単独,0～24歳,不明,二輪車－自動二輪－小型二輪－251～400cc,物件等,自家用,対象外当事者,対象外当事者,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,土,その他,38.509500,140.348861,2019-09-28,14:03,red,,,,,,,,,,,,
本票,山形,つがる,0198,死亡,1,0,20000,対象外,0000,206,夜－暮,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,35～44歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,38.374917,140.297750,2019-09-06,18:33,red,,,,,,,,,,,,
本票,福島,中央,0330,死亡,1,0,30000,対象外,0000,201,昼－暮,晴,非市街地,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,3,車両相互,25～34歳,75歳以上,貨物車－普通車,軽車両－自転車,自家用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,40,小破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,37.782275,140.379884,2019-09-25,16:50,red,,,,,,,,,,,,
本票,福島,千歳,0063,死亡,1,0,30000,対象外,0000,210,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,8,単路（交差点付近を含む）,規制なし,5,4,人対車両,55～64歳,45～54歳,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,12,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,37.532477,140.592647,2019-09-29,11:40,red,,,,,,,,,,,,
本票,福島,栗山,0402,死亡,1,0,20000,対象外,0000,203,夜－暮,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,14,9,交差点内,規制なし,4,2,人対車両,45～54歳,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,50,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,37.363658,140.375422,2019-09-03,18:44,red,,,,,,,,,,,,
本票,福島,赤歌,0153,死亡,1,0,20000,対象外,0000,202,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点滅－１灯式,09,22,09,22,11,9,交差点内,規制なし,5,3,車両相互,35～44歳,0～24歳,貨物車－普通車,乗用車－軽自動車,自家用,自家用,貨物車,乗用車,指定の速度規制なし等,30㎞／ｈ以下,10,54,中破,大破,装備あり 作動,装備あり 作動,その他,その他,損傷なし,死亡,火,その他,37.511490,139.903887,2019-09-17,08:40,red,,,,,,,,,,,,
本票,福島,芦別,0033,死亡,2,1,01150,上,0000,408,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,75歳以上,35～44歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,10,10,大破,大破,装備あり 作動,装備あり 作動,その他,装備あり 作動,死亡,負傷,日,前日,37.589123,140.130562,2019-09-15,12:42,red,,,,,,,,,,,,
本票,東京,つがる,0130,死亡,1,0,20000,対象外,0000,103,昼－暮,晴,市街地－人口集中,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,5,単路（交差点付近を含む）,規制なし,5,4,車両単独,35～44歳,不明,二輪車－自動二輪－原付二種－51～125cc,物件等,自家用,対象外当事者,対象外当事者,対象外当事者,40㎞／ｈ以下,対象外当事者,20,00,中破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,火,その他,35.637118,139.757643,2019-09-17,17:10,red,,,,,,,,,,,,
本票,東京,大井,0091,死亡,1,0,00150,上,0112,109,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,17,9,交差点内,規制なし,5,1,車両相互,35～44歳,65～74歳,貨物車－大型車,軽車両－自転車,自家用,対象外当事者,貨物車,対象外当事者,60㎞／ｈ以下,対象外当事者,40,20,損壊なし,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,35.596077,139.736924,2019-09-09,08:05,red,,,,,,,,,,,,
本票,東京,目黒,0143,死亡,1,0,20240,対象外,0000,110,昼－昼,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,45～54歳,65～74歳,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,30,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,35.631894,139.686125,2019-09-17,14:50,red,,,,,,,,,,,,
本票,東京,碑文谷,0168,死亡,1,0,20240,対象外,0000,110,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,65～74歳,45～54歳,乗用車－普通車,歩行者,事業用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,前日,35.625001,139.666720,2019-09-15,03:35,red,,,,,,,,,,,,
本票,東京,池袋,0154,死亡,1,0,30000,対象外,0000,116,夜－夜,雨,市街地－人口集中,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,2,人対車両,45～54歳,0～24歳,貨物車－中型車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,損壊なし,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,当日,35.729641,139.706481,2019-09-23,03:00,red,,,,,,,,,,,,
本票,東京,目白,0114,死亡,1,0,10010,対象外,0000,116,夜－暮,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,1,車両単独,55～64歳,不明,二輪車－自動二輪－小型二輪－751ｃｃ以上,物件等,自家用,対象外当事者,対象外当事者,対象外当事者,40㎞／ｈ以下,対象外当事者,40,00,中破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,土,その他,35.720940,139.708022,2019-09-14,18:27,red,,,,,,,,,,,,
本票,東京,志村,0184,死亡,1,0,30000,対象外,0000,119,昼－昼,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,11,8,交差点内,規制なし,5,3,車両単独,75歳以上,不明,軽車両－自転車,物件等,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,10,00,大破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,金,その他,35.773629,139.684105,2019-09-13,12:50,red,,,,,,,,,,,,
本票,東京,下谷,0095,死亡,1,0,00040,下,0057,106,昼－明,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,18,9,交差点内,規制なし,5,2,人対車両,35～44歳,75歳以上,貨物車－中型車,歩行者,事業用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,35.728799,139.790562,2019-09-02,05:21,red,,,,,,,,,,,,
本票,東京,亀有,0323,死亡,1,0,20000,対象外,0000,122,夜－明,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,11,9,交差点内,規制なし,4,4,人対車両,75歳以上,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,35.750683,139.885794,2019-09-01,05:00,red,,,,,,,,,,,,
本票,東京,多摩中央,0305,死亡,1,0,10480,対象外,0000,224,夜－夜,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,1,2,人対車両,45～54歳,45～54歳,貨物車－大型車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,30,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,35.640987,139.425805,2019-09-06,22:00,red,,,,,,,,,,,,
本票,東京,田無,0410,死亡,1,1,30000,対象外,0000,222,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,15,9,交差点内,規制なし,5,1,車両相互,45～54歳,0～24歳,乗用車－軽自動車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,乗用車,対象外当事者,40㎞／ｈ以下,40㎞／ｈ以下,40,10,大破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,35.748693,139.504856,2019-09-02,22:40,red,,,,,,,,,,,,
本票,東京,田無,0411,死亡,1,0,20000,対象外,0000,229,夜－夜,雨,市街地－人口集中,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,55～64歳,75歳以上,貨物車－軽自動車,軽車両－自転車,自家用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,40,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,35.756112,139.564083,2019-09-03,19:10,red,,,,,,,,,,,,
本票,東京,調布,0365,死亡,1,0,30000,対象外,0000,208,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,21,00,23,11,9,交差点内,規制なし,5,4,車両単独,65～74歳,不明,貨物車－軽自動車,物件等,事業用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,大破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,死亡,対象外当事者,木,その他,35.663779,139.559339,2019-09-05,10:00,red,,,,,,,,,,,,
本票,茨城,中央,0776,死亡,1,0,30000,対象外,0000,201,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,その他,規制なし,4,2,車両単独,55～64歳,不明,軽車両－駆動補助機付自転車,相手なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,40,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,火,その他,36.405712,140.443346,2019-08-27,09:10,red,,,,,,,,,,,,
本票,茨城,中央,0777,死亡,1,0,30000,対象外,0000,201,夜－夜,雨,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,前日,36.381161,140.418425,2019-09-22,20:50,red,,,,,,,,,,,,
本票,茨城,岩内,0141,死亡,1,2,23570,対象外,0000,227,夜－夜,晴,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,01,21,14,9,交差点内,規制なし,5,3,車両相互,45～54歳,0～24歳,乗用車－軽自動車,二輪車－原付自転車,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,指定の速度規制なし等,52,14,中破,大破,装備あり 作動,対象外当事者,その他,対象外当事者,負傷,死亡,金,その他,36.272884,139.970750,2019-09-20,21:25,red,,,,,,,,,,,,
本票,茨城,苫小牧,0079,死亡,1,1,21460,対象外,0000,207,昼－昼,雨,非市街地,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,15,9,交差点内,規制なし,4,2,車両相互,35～44歳,75歳以上,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,40㎞／ｈ以下,指定の速度規制なし等,40,10,小破,中破,その他,装備あり 作動,その他,その他,損傷なし,負傷,水,その他,36.314068,139.872454,2019-09-18,14:30,red,,,,,,,,,,,,
本票,茨城,静内,0209,死亡,1,0,30000,対象外,0000,204,夜－夜,曇,市街地－人口集中,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,5,3,人対車両,45～54歳,25～34歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,36.180098,139.729826,2019-09-12,01:15,red,,,,,,,,,,,,
本票,茨城,浦河,0127,死亡,1,3,21250,対象外,0000,228,夜－夜,曇,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,15,9,交差点内,規制なし,4,2,車両相互,0～24歳,0～24歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,指定の速度規制なし等,10,25,中破,大破,装備あり 作動,その他,装備あり 作動,その他,負傷,負傷,土,その他,36.078574,139.872861,2019-09-14,19:50,red,,,,,,,,,,,,
本票,茨城,浦河,0137,死亡,1,0,03540,対象外,0000,546,昼－明,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,6,単路（交差点付近を含む）,規制なし,4,2,車両相互,35～44歳,45～54歳,貨物車－大型車,貨物車－軽自動車,事業用,事業用,貨物車,貨物車,40㎞／ｈ以下,40㎞／ｈ以下,10,10,小破,大破,その他,装備あり 作動,その他,その他,損傷なし,死亡,金,その他,36.086231,139.839062,2019-09-27,06:08,red,,,,,,,,,,,,
本票,栃木,中央,0346,死亡,1,0,01190,対象外,0000,201,夜－夜,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,2,人対車両,35～44歳,65～74歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,36.681877,139.791023,2019-09-17,21:20,red,,,,,,,,,,,,
本票,栃木,東,0228,死亡,1,0,10160,対象外,0000,204,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,17,9,交差点内,規制なし,4,2,車両相互,55～64歳,75歳以上,乗用車－普通車,二輪車－原付自転車,自家用,自家用,乗用車,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,84,20,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,36.334867,139.580938,2019-09-26,14:36,red,,,,,,,,,,,,
